id,name,path
16,稻草人,assets/boss/01601.png
17,森林雪人,assets/boss/01701.png
1,半兽勇士,assets/boss/00101.png
2,骷髅精灵,assets/boss/00201.png
7,尸王,assets/boss/00701.png
6,邪恶钳虫,assets/boss/00601.png
4,沃玛教主,assets/boss/00401.png
13,触龙神,assets/boss/01301.png
11,祖玛教主,assets/boss/01101.png
9,虹魔教主,assets/boss/00901.png
25,赤月恶魔,assets/boss/02501.png
18,黄泉教主,assets/boss/01801.png
12,牛魔王,assets/boss/01201.png
23,魔龙教主,assets/boss/02301.png
3,弓箭手,assets/boss/00301.png
5,妖之树,assets/boss/00501.png
8,白野猪,assets/boss/00801.png
10,虹魔猪卫,assets/boss/01001.png
14,上古吉兽,assets/boss/01401.png
15,大蜘蛛,assets/boss/01501.png
19,摩羯,assets/boss/01901.png
20,冰窟卫士,assets/boss/02001.png
21,大斧兽人,assets/boss/02101.png
22,花吻蜘蛛,assets/boss/02201.png
24,小龙,assets/boss/02401.png
26,暗黑守护神,assets/boss/02601.png
27,深渊金仙,assets/boss/02701.png
28,主宰教主,assets/boss/02801.png
32,龙,assets/boss/03201.png
34,巨魔王,assets/boss/03401.png
35,巨鹰,assets/boss/03501.png
38,蚩尤,assets/boss/03801.png
39,刑天,assets/boss/03901.png
40,石神,assets/boss/04001.png
41,熔岩魔,assets/boss/04101.png
42,轩辕,assets/boss/04201.png
