id,xp
1,43
2,67
3,107
4,163
5,235
6,323
7,427
8,547
9,683
10,835
11,1003
12,1187
13,1387
14,1603
15,1835
16,2083
17,2347
18,2627
19,2923
20,3235
21,3563
22,3907
23,4267
24,4643
25,5035
26,5443
27,5867
28,6307
29,6763
30,7235
31,7723
32,8227
33,8747
34,9283
35,9835
36,10403
37,10987
38,11587
39,12203
40,12835
41,13483
42,14147
43,14827
44,15523
45,16235
46,16963
47,17707
48,18467
49,19243
50,20035
51,20843
52,21667
53,22507
54,23363
55,24235
56,25123
57,26027
58,26947
59,27883
60,28835
61,29803
62,30787
63,31787
64,32803
65,33835
66,34883
67,35947
68,37027
69,38123
70,39235
71,40363
72,41507
73,42667
74,43843
75,45035
76,46243
77,47467
78,48707
79,49963
80,51235
81,52523
82,53827
83,55147
84,56483
85,57835
86,59203
87,60587
88,61987
89,63403
90,64835
91,66283
92,67747
93,69227
94,70723
95,72235
96,73763
97,75307
98,76867
99,78443
100,80035
101,81643
102,83267
103,84907
104,86563
105,88235
106,89923
107,91627
108,93347
109,95083
110,96835
111,98603
112,100387
113,102187
114,104003
115,105835
116,107683
117,109547
118,111427
119,113323
120,115235
121,117163
122,119107
123,121067
124,123043
125,125035
126,127043
127,129067
128,131107
129,133163
130,135235
131,137323
132,139427
133,141547
134,143683
135,145835
136,148003
137,150187
138,152387
139,154603
140,156835
141,159083
142,161347
143,163627
144,165923
145,168235
146,170563
147,172907
148,175267
149,177643
150,180035
151,182443
152,184867
153,187307
154,189763
155,192235
156,194723
157,197227
158,199747
159,202283
160,204835
161,207403
162,209987
163,212587
164,215203
165,217835
166,220483
167,223147
168,225827
169,228523
170,231235
171,233963
172,236707
173,239467
174,242243
175,245035
176,247843
177,250667
178,253507
179,256363
180,259235
181,262123
182,265027
183,267947
184,270883
185,273835
186,276803
187,279787
188,282787
189,285803
190,288835
191,291883
192,294947
193,298027
194,301123
195,304235
196,307363
197,310507
198,313667
199,316843
200,320035
201,323243
202,326467
203,329707
204,332963
205,336235
206,339523
207,342827
208,346147
209,349483
210,352835
211,356203
212,359587
213,362987
214,366403
215,369835
216,373283
217,376747
218,380227
219,383723
220,387235
221,390763
222,394307
223,397867
224,401443
225,405035
226,408643
227,412267
228,415907
229,419563
230,423235
231,426923
232,430627
233,434347
234,438083
235,441835
236,445603
237,449387
238,453187
239,457003
240,460835
241,464683
242,468547
243,472427
244,476323
245,480235
246,484163
247,488107
248,492067
249,496043
250,500035
251,504043
252,508067
253,512107
254,516163
255,520235
256,524323
257,528427
258,532547
259,536683
260,540835
261,545003
262,549187
263,553387
264,557603
265,561835
266,566083
267,570347
268,574627
269,578923
270,583235
271,587563
272,591907
273,596267
274,600643
275,605035
276,609443
277,613867
278,618307
279,622763
280,627235
281,631723
282,636227
283,640747
284,645283
285,649835
286,654403
287,658987
288,663587
289,668203
290,672835
291,677483
292,682147
293,686827
294,691523
295,696235
296,700963
297,705707
298,710467
299,715243
300,720035
301,724843
302,729667
303,734507
304,739363
305,744235
306,749123
307,754027
308,758947
309,763883
310,768835
311,773803
312,778787
313,783787
314,788803
315,793835
316,798883
317,803947
318,809027
319,814123
320,819235
321,824363
322,829507
323,834667
324,839843
325,845035
326,850243
327,855467
328,860707
329,865963
330,871235
331,876523
332,881827
333,887147
334,892483
335,897835
336,903203
337,908587
338,913987
339,919403
340,924835
341,930283
342,935747
343,941227
344,946723
345,952235
346,957763
347,963307
348,968867
349,974443
350,980035
351,985643
352,991267
353,996907
354,1002563
355,1008235
356,1013923
357,1019627
358,1025347
359,1031083
360,1036835
361,1042603
362,1048387
363,1054187
364,1060003
365,1065835
366,1071683
367,1077547
368,1083427
369,1089323
370,1095235
371,1101163
372,1107107
373,1113067
374,1119043
375,1125035
376,1131043
377,1137067
378,1143107
379,1149163
380,1155235
381,1161323
382,1167427
383,1173547
384,1179683
385,1185835
386,1192003
387,1198187
388,1204387
389,1210603
390,1216835
391,1223083
392,1229347
393,1235627
394,1241923
395,1248235
396,1254563
397,1260907
398,1267267
399,1273643
400,1280035
401,1286443
402,1292867
403,1299307
404,1305763
405,1312235
406,1318723
407,1325227
408,1331747
409,1338283
410,1344835
411,1351403
412,1357987
413,1364587
414,1371203
415,1377835
416,1384483
417,1391147
418,1397827
419,1404523
420,1411235
421,1417963
422,1424707
423,1431467
424,1438243
425,1445035
426,1451843
427,1458667
428,1465507
429,1472363
430,1479235
431,1486123
432,1493027
433,1499947
434,1506883
435,1513835
436,1520803
437,1527787
438,1534787
439,1541803
440,1548835
441,1555883
442,1562947
443,1570027
444,1577123
445,1584235
446,1591363
447,1598507
448,1605667
449,1612843
450,1620035
451,1627243
452,1634467
453,1641707
454,1648963
455,1656235
456,1663523
457,1670827
458,1678147
459,1685483
460,1692835
461,1700203
462,1707587
463,1714987
464,1722403
465,1729835
466,1737283
467,1744747
468,1752227
469,1759723
470,1767235
471,1774763
472,1782307
473,1789867
474,1797443
475,1805035
476,1812643
477,1820267
478,1827907
479,1835563
480,1843235
481,1850923
482,1858627
483,1866347
484,1874083
485,1881835
486,1889603
487,1897387
488,1905187
489,1913003
490,1920835
491,1928683
492,1936547
493,1944427
494,1952323
495,1960235
496,1968163
497,1976107
498,1984067
499,1992043
500,2000035
501,2008043
502,2016067
503,2024107
504,2032163
505,2040235
506,2048323
507,2056427
508,2064547
509,2072683
510,2080835
511,2089003
512,2097187
513,2105387
514,2113603
515,2121835
516,2130083
517,2138347
518,2146627
519,2154923
520,2163235
