id,name,type,image,desc,slot,atk,def,hp,price,req,skill,effect,value,amount,resource,market_tier,cost,quality
spirit_crucian,灵鲫,resource,,,,0,0,0,2,1,,,0,,,,,
stream_dew,清溪灵露,resource,,,,0,0,0,2,1,,,0,,,,,
mystic_shell,玄鳖甲,resource,,,,0,0,0,2,1,,,0,,,,,
cold_marrow,寒潭玄髓,resource,,,,0,0,0,2,1,,,0,,,,,
cloud_scale,云鳞,resource,,,,0,0,0,2,1,,,0,,,,,
cloud_pearl,祥云灵珠,resource,,,,0,0,0,2,1,,,0,,,,,
green_scale_crucian,青鳞鲫,resource,,,,0,0,0,2,1,,,0,,,,,
moon_carp,月纹鲤,resource,,,,0,0,0,2,1,,,0,,,,,
silver_fish,寒潭银鱼,resource,,,,0,0,0,2,1,,,0,,,,,
redtail_loach,赤尾灵鳅,resource,,,,0,0,0,2,1,,,0,,,,,
jade_crab,碧眼灵蟹,resource,,,,0,0,0,2,1,,,0,,,,,
dream_koi,云梦锦鲤,resource,,,,0,0,0,2,1,,,0,,,,,
dragon_carp,玄水龙鲤,resource,,,,0,0,0,2,1,,,0,,,,,
dew_grass,凝露草,resource,,,,0,0,0,2,1,,,0,,,,,
centennial_dew,百年凝露草,resource,,,,0,0,0,2,1,,,0,,,,,
sun_flower,赤阳花,resource,,,,0,0,0,2,1,,,0,,,,,
sun_heart,赤阳花心,resource,,,,0,0,0,2,1,,,0,,,,,
yin_lingzhi,玄阴芝,resource,,,,0,0,0,2,1,,,0,,,,,
ancient_yin_lingzhi,千年玄阴芝,resource,,,,0,0,0,2,1,,,0,,,,,
clearheart_grass,清心草,resource,,,,0,0,0,2,1,,,0,,,,,
spirit_flower,聚灵花,resource,,,,0,0,0,2,1,,,0,,,,,
blood_ginseng,赤血参,resource,,,,0,0,0,2,1,,,0,,,,,
moon_ganoderma,月华芝,resource,,,,0,0,0,2,1,,,0,,,,,
frost_lotus,寒髓莲,resource,,,,0,0,0,2,1,,,0,,,,,
violet_vine,紫霄藤,resource,,,,0,0,0,2,1,,,0,,,,,
nineleaf_flower,九叶仙葩,resource,,,,0,0,0,2,1,,,0,,,,,
red_copper,赤铜矿石,resource,,,,0,0,0,2,1,,,0,,,,,
red_copper_essence,赤铜精,resource,,,,0,0,0,2,1,,,0,,,,,
mystic_iron,玄铁矿石,resource,,,,0,0,0,2,1,,,0,,,,,
mystic_iron_essence,玄铁精,resource,,,,0,0,0,2,1,,,0,,,,,
spirit_jade,灵玉原矿,resource,,,,0,0,0,2,1,,,0,,,,,
flawless_jade,无瑕灵玉,resource,,,,0,0,0,2,1,,,0,,,,,
azure_stone,青纹石,resource,,,,0,0,0,2,1,,,0,,,,,
refined_red_copper,赤铜精矿,resource,,,,0,0,0,2,1,,,0,,,,,
cold_iron,寒铁矿,resource,,,,0,0,0,2,1,,,0,,,,,
star_silver,星银矿,resource,,,,0,0,0,2,1,,,0,,,,,
violet_crystal,紫晶灵矿,resource,,,,0,0,0,2,1,,,0,,,,,
thunder_gold,雷纹玄金,resource,,,,0,0,0,2,1,,,0,,,,,
primordial_marrow,混元仙髓,resource,,,,0,0,0,2,1,,,0,,,,,
heavenly_essence,天地精粹,resource,,,,0,0,0,2,1,,,0,,,,,
brewing_bamboo_dew,竹叶清露,wine,brewing_bamboo_dew.png,装入灵酒栏后自动饮用，提高采集速度，持续3分钟。,,0,0,0,2,1,,,0,,,,,
brewing_sunset_wine,赤霞灵酿,wine,brewing_sunset_wine.png,提高攻击，持续3分钟。,,0,0,0,2,1,,,0,,,,,
brewing_flower_wine,百花仙醪,wine,brewing_flower_wine.png,提高杂学经验，持续3分钟。,,0,0,0,2,1,,,0,,,,,
brewing_pine_rice_wine,松风米酒,wine,brewing_pine_rice_wine.png,提高闭关速度，持续3分钟。,,0,0,0,2,1,,,0,,,,,
